Agent Name,Wins,Losses,Performance
Generation:,2,Num Of Bots,76,PlatVal,0.006877288413496821
RSQG,141,105,0,Weights:,0.019,0.02,-0.014,0.051,0.046,-0.011,0.193,0.164,0.814,-0.498,-0.384,0.401,-0.157,0.164
ZCYB,110,136,0,Weights:,0.05,0.007,-0.047,0.038,0.049,-0.018,0.181,0.171,0.825,-0.534,-0.375,0.392,-0.184,0.189
SKPW,135,111,0,Weights:,0.034,0.003,-0.037,0.012,0.062,-0.018,0.192,0.137,0.816,-0.506,-0.377,0.41,-0.159,0.164
ETQL,184,62,0,Weights:,0.001,0.012,-0.046,0.04,0.044,-0.021,0.188,0.152,0.822,-0.509,-0.391,0.4,-0.165,0.151
RXKM,103,143,0,Weights:,0.077,0.024,-0.043,0.009,0.066,0.004,0.177,0.1,0.808,-0.508,-0.387,0.39,-0.156,0.181
FFSD,148,98,0,Weights:,0.04,0.012,-0.042,0.055,0.075,-0.024,0.186,0.117,0.824,-0.512,-0.391,0.39,-0.171,0.165
JKCS,131,115,0,Weights:,-0.002,0.001,-0.042,0.033,0.061,0.001,0.179,0.124,0.808,-0.532,-0.372,0.385,-0.157,0.139
UVWW,52,194,0,Weights:,0.033,0.015,-0.019,0.015,0.07,-0.005,0.182,0.104,0.831,-0.521,-0.389,0.391,-0.147,0.159
VMVU,110,136,0,Weights:,0.05,0.005,-0.052,0.039,0.077,-0.008,0.191,0.127,0.82,-0.546,-0.37,0.407,-0.165,0.195
ZZBV,156,90,0,Weights:,0.068,0.016,-0.013,0.035,0.042,-0.027,0.18,0.131,0.815,-0.516,-0.376,0.401,-0.168,0.172
BTOD,112,134,0,Weights:,0.03,0.021,-0.024,0.006,0.073,-0.008,0.173,0.112,0.828,-0.51,-0.38,0.411,-0.153,0.14
SAIG,149,97,0,Weights:,0.002,0.019,-0.01,0.018,0.078,-0.022,0.186,0.122,0.822,-0.545,-0.384,0.384,-0.167,0.194
GVFF,139,107,0,Weights:,0.022,0.011,-0.041,0.033,0.047,-0.026,0.184,0.168,0.808,-0.532,-0.37,0.385,-0.167,0.157
WGUI,85,161,0,Weights:,0.067,0.0,-0.014,0.035,0.065,-0.009,0.191,0.096,0.829,-0.5,-0.391,0.396,-0.168,0.187
CYHZ,113,133,0,Weights:,0.02,0.013,-0.036,0.044,0.058,-0.008,0.177,0.11,0.83,-0.544,-0.381,0.394,-0.178,0.161
TDLQ,125,121,0,Weights:,-0.008,0.029,-0.044,0.012,0.069,-0.007,0.174,0.168,0.82,-0.509,-0.381,0.409,-0.161,0.156
IWGQ,145,101,0,Weights:,0.073,0.022,-0.032,0.01,0.068,-0.02,0.18,0.133,0.817,-0.526,-0.388,0.389,-0.152,0.194
VSNN,140,106,0,Weights:,0.028,0.025,-0.01,0.017,0.077,-0.007,0.172,0.114,0.807,-0.509,-0.382,0.4,-0.179,0.172
SBJK,75,171,0,Weights:,0.026,0.026,-0.022,0.001,0.044,-0.015,0.191,0.107,0.823,-0.542,-0.381,0.387,-0.149,0.173
RFMW,111,135,0,Weights:,0.081,0.026,-0.012,0.007,0.062,-0.014,0.193,0.115,0.815,-0.504,-0.376,0.385,-0.18,0.147
DWGG,152,94,0,Weights:,0.06,0.022,-0.026,0.02,0.06,-0.023,0.18,0.119,0.809,-0.526,-0.385,0.396,-0.178,0.168
FJKE,145,101,0,Weights:,0.03,0.01,-0.013,0.022,0.04,-0.002,0.193,0.154,0.831,-0.543,-0.388,0.393,-0.157,0.152
RHEM,135,111,0,Weights:,0.069,0.001,-0.029,0.035,0.07,0.001,0.179,0.106,0.812,-0.503,-0.388,0.402,-0.155,0.158
SCAC,160,86,0,Weights:,-0.001,0.03,-0.042,0.06,0.037,-0.016,0.182,0.139,0.813,-0.539,-0.378,0.403,-0.168,0.136
Grdy,1,245,0,Weights:,0.8,0,0,0,0,0,0,0,0.6,0.1,-0.1,0.5,0.3,0
REZB,135,111,0,Weights:,0.055,0.024,-0.028,0.044,0.061,-0.019,0.171,0.123,0.831,-0.502,-0.382,0.397,-0.158,0.181
SDGG,131,115,0,Weights:,0.015,0.032,-0.02,0.044,0.058,0.004,0.185,0.118,0.824,-0.52,-0.373,0.408,-0.161,0.175
Call,5,241,0,Weights:,0.3,0,0,0,0,0,0,0,0.8,-0.9,-0.2,0.3,0,0.4
QWXO,121,125,0,Weights:,0.081,0.016,-0.021,0.054,0.04,-0.012,0.187,0.13,0.826,-0.505,-0.378,0.392,-0.174,0.182
KGBJ,148,98,0,Weights:,0.026,0.029,-0.021,0.019,0.04,-0.008,0.173,0.138,0.812,-0.531,-0.373,0.4,-0.176,0.191
CKII,109,137,0,Weights:,0.033,0.008,-0.007,0.01,0.071,0.001,0.184,0.135,0.82,-0.541,-0.377,0.391,-0.18,0.177
BPWZ,131,115,0,Weights:,0.041,0.026,-0.046,0.013,0.053,0.001,0.171,0.135,0.819,-0.529,-0.388,0.397,-0.153,0.189
SQBO,179,67,0,Weights:,-0.006,0.0,-0.041,0.011,0.052,-0.014,0.17,0.127,0.805,-0.538,-0.379,0.399,-0.165,0.156
RUNY,127,119,0,Weights:,0.07,0.011,-0.041,0.045,0.059,-0.012,0.17,0.141,0.83,-0.532,-0.376,0.392,-0.169,0.14
CPDE,121,125,0,Weights:,0.061,0.028,-0.021,0.005,0.07,-0.024,0.173,0.111,0.819,-0.5,-0.391,0.389,-0.149,0.151
RTQN,124,122,0,Weights:,0.019,0.017,-0.054,0.022,0.052,0.0,0.191,0.165,0.823,-0.512,-0.376,0.403,-0.166,0.156
ZAWQ,115,131,0,Weights:,0.039,0.019,-0.049,0.023,0.049,-0.009,0.172,0.16,0.805,-0.546,-0.391,0.41,-0.157,0.183
ROCA,143,103,0,Weights:,0.027,0.032,-0.02,0.021,0.037,-0.012,0.175,0.132,0.814,-0.507,-0.371,0.399,-0.155,0.18
Hnst,2,244,0,Weights:,0.3,0,0,0,0,0,0,0,0.4,0.2,-0.3,0.8,0,0
EEVP,153,93,0,Weights:,0.034,0.017,-0.04,0.051,0.039,-0.01,0.193,0.154,0.824,-0.533,-0.388,0.397,-0.181,0.153
WAGE,150,96,0,Weights:,0.039,0.03,-0.015,0.048,0.072,-0.027,0.175,0.095,0.807,-0.547,-0.389,0.39,-0.182,0.137
FMKI,127,119,0,Weights:,0.062,0.016,-0.03,0.016,0.07,-0.024,0.189,0.162,0.818,-0.54,-0.383,0.407,-0.168,0.135
CNTP,63,183,0,Weights:,0.07,0.021,-0.029,0.023,0.079,0.002,0.189,0.17,0.818,-0.509,-0.381,0.403,-0.178,0.149
HFCP,160,86,0,Weights:,-0.01,0.016,-0.041,0.05,0.073,-0.017,0.192,0.102,0.819,-0.523,-0.37,0.405,-0.183,0.184
YTPJ,140,106,0,Weights:,0.047,0.028,-0.052,0.053,0.041,-0.009,0.184,0.133,0.822,-0.548,-0.386,0.399,-0.149,0.178
JAVK,145,101,0,Weights:,0.024,0.029,-0.016,0.006,0.071,-0.016,0.191,0.101,0.815,-0.525,-0.391,0.408,-0.172,0.193
NVPX,126,120,0,Weights:,0.08,0.015,-0.008,0.008,0.064,-0.009,0.173,0.119,0.823,-0.502,-0.379,0.389,-0.17,0.184
HIPZ,132,114,0,Weights:,0.025,0.022,-0.032,0.01,0.046,-0.002,0.186,0.121,0.809,-0.544,-0.376,0.392,-0.174,0.157
OFRG,137,109,0,Weights:,0.074,0.016,-0.013,0.02,0.042,0.003,0.174,0.136,0.806,-0.549,-0.378,0.411,-0.15,0.138
