Agent Name,Wins,Losses,Performance
Generation:,2,Num Of Bots,292,PlatVal,0.45657134576798913
AMHR,154,200,0.0,Weights:,-0.47131,0.3344,0.04065,0.56276,0.15383,0.43719,-0.51007,0.85827,-0.27949,0.44373,-0.09786,-0.26597,0.54119,-0.33758,0.32201,-0.76268,0.42152,-0.83249
CBWP,268,83,0.0,Weights:,-0.06157,0.79608,0.13771,0.40588,0.22085,0.43672,0.34473,-0.13954,0.56638,-0.08215,0.619,0.26213,-0.20261,-0.41271,0.82713,-0.72059,-0.61401,0.16827
Hnst-CDZM#30,237,116,0,Weights:,-0.010485000000000022,0.249885,-0.15714,0.154345,-0.372185,0.42215,0.38803,0.16898000000000002,0.08299000000000001,0.45611500000000005,-0.30185,0.120885,-0.263245,0.09379,0.23633,0.12355,-0.23897,-0.17491
CTZX,21,335,0.0,Weights:,-0.74509,-0.72052,0.87057,-0.02439,0.43673,-0.50197,0.10895,0.65102,0.53918,-0.53515,0.10417,-0.33252,0.2011,0.28186,0.28027,-0.24506,-0.80295,0.89912
NLKP,133,223,0.0,Weights:,-0.60172,0.41689,0.82484,-0.4587,-0.55039,0.64076,-0.44858,0.8217,-0.8147,-0.0788,0.62683,-0.10789,-0.12539,-0.33681,-0.48076,0.11591,0.31769,0.23414
XEHK,12,345,0,Weights:,0.05346,0.79872,-0.4398,0.60518,-0.17607,-0.61134,0.45275,0.1319,-0.40948,-0.87374,-0.70753,-0.45498,-0.14444,-0.25884,0.88797,0.31655,-0.29838,-0.04259
YUMI,53,303,0.0,Weights:,-0.82471,-0.29091,0.43627,-0.8956,-0.89804,0.30147,-0.19747,0.43852,0.51768,0.11468,-0.5513,-0.5359,0.26944,0.62484,0.76185,0.12326,0.70557,-0.87134
HTFA,165,189,0.0,Weights:,0.61417,0.43914,0.09016,-0.16502,-0.00319,0.61385,0.79649,0.57581,-0.50716,0.35521,-0.74947,-0.39672,-0.36275,-0.40722,-0.18654,0.83241,0.87794,-0.06887
TILD,79,277,0.0,Weights:,-0.38692,0.32131,0.2271,0.58989,0.64073,-0.59188,-0.84015,0.39341,-0.60387,0.56394,-0.64872,-0.44541,0.13018,-0.45198,-0.06488,-0.10956,-0.65135,0.1224
XXRA-IZWQ#32,247,107,0,Weights:,-0.16037999999999997,-0.27178,0.80049,0.32743,0.550005,0.3085,-0.19627999999999998,0.12046000000000001,0.662235,-0.10832,0.40227999999999997,0.080785,-0.11389000000000002,-0.09627000000000001,0.16813,-0.24015,-0.284995,-0.014849999999999974
AZVN,267,85,0.0,Weights:,0.42543,0.24515,0.41198,0.72778,0.68492,0.45946,0.24406,-0.77229,0.27246,0.8259,0.75792,-0.38783,-0.18736,0.16057,-0.52207,-0.89576,-0.55631,-0.44866
ADMR,205,151,0.0,Weights:,0.87016,-0.00429,0.50147,-0.37091,-0.7375,0.58417,-0.86184,-0.5504,-0.83571,0.43161,-0.23389,0.01468,-0.7056,0.49973,-0.74972,0.77958,-0.65654,0.51128
